region_key,zone_key,zone_display,region_display,lat,lon
addisabeba,addisabeba,AddisAbeba,AddisAbeba,8.9805,38.7855
afar,afarzone1,AfarZone1,Afar,11.9414,41.2181
afar,afarzone2,AfarZone2,Afar,13.5009,40.6427
afar,afarzone3,AfarZone3,Afar,10.0549,40.5319
afar,afarzone4,AfarZone4,Afar,12.3491,40.2692
afar,afarzone5,AfarZone5,Afar,10.5274,40.2744
amhara,agewawi,AgewAwi,Amhara,11.1896,36.597
amhara,argoba,Argoba,Amhara,10.9314,39.9818
amhara,bahirdarspecialzone,BahirDarSpecialZone,Amhara,11.586,37.3932
amhara,debubgondar,DebubGondar,Amhara,11.7462,38.1155
amhara,debubwollo,DebubWollo,Amhara,10.958,39.1942
amhara,mirabgojjam,MirabGojjam,Amhara,11.2544,37.2199
amhara,misraqgojjam,MisraqGojjam,Amhara,10.513,37.9266
amhara,northshewa,NorthShewa,Amhara,9.8012,39.486
amhara,oromia,Oromia,Amhara,10.7268,40.0107
amhara,semengondar,SemenGondar,Amhara,12.6899,37.0077
amhara,semenwello,SemenWello,Amhara,11.8785,39.2149
amhara,waghimra,WagHimra,Amhara,12.7136,38.819
benshangul_gumaz,asosa,Asosa,Benshangul-Gumaz,10.0443,34.618
benshangul_gumaz,kemashi,Kemashi,Benshangul-Gumaz,9.9177,35.7813
benshangul_gumaz,metekel,Metekel,Benshangul-Gumaz,10.9974,35.7701
diredawa,diredawa,DireDawa,DireDawa,9.6063,42.003
gambelapeoples,agnuak,Agnuak,GambelaPeoples,7.6481,34.4243
gambelapeoples,majang,Majang,GambelaPeoples,7.381,35.1282
gambelapeoples,nuer,Nuer,GambelaPeoples,8.1564,33.4707
hararipeople,hareri,Hareri,HarariPeople,9.2897,42.1725
oromia,arsi,Arsi,Oromia,7.9392,39.6781
oromia,bale,Bale,Oromia,6.7638,40.6413
oromia,borena,Borena,Oromia,4.6607,38.2608
oromia,debubmirabshewa,DebubMirabShewa,Oromia,8.6077,38.2153
oromia,guji,Guji,Oromia,5.5835,39.1399
oromia,horoguduru,HoroGuduru,Oromia,9.7099,37.2056
oromia,ilubabor,Ilubabor,Oromia,8.3413,35.7989
oromia,jimma,Jimma,Oromia,7.9171,36.822
oromia,kelemwellega,KelemWellega,Oromia,8.799,34.7816
oromia,mirabarsi,MirabArsi,Oromia,7.056,38.9801
oromia,mirabhararghe,MirabHararghe,Oromia,8.6794,40.776
oromia,mirabshewa,MirabShewa,Oromia,9.1605,37.8601
oromia,mirabwelega,MirabWelega,Oromia,9.3229,35.298
oromia,misraqharerge,MisraqHarerge,Oromia,8.8279,42.0011
oromia,misraqshewa,MisraqShewa,Oromia,8.5203,39.1505
oromia,misraqwellega,MisraqWellega,Oromia,9.3984,36.6158
oromia,northshewa,NorthShewa,Oromia,9.6668,38.7242
somali,afder,Afder,Somali,5.3979,42.4824
somali,doolo,Doolo,Somali,7.2652,46.0521
somali,fafan,Fafan,Somali,9.3168,43.1141
somali,jarar,Jarar,Somali,8.1897,44.014
somali,korahe,Korahe,Somali,6.6442,44.4228
somali,liben,Liben,Somali,4.5949,40.6214
somali,nogob,Nogob,Somali,7.7557,42.4165
somali,shabelle,Shabelle,Somali,6.1648,43.578
somali,siti,Siti,Somali,10.2439,41.8239
southernnationsnationalities,alaba,Alaba,SouthernNationsNationalities,7.4112,38.2122
southernnationsnationalities,alle,Alle,SouthernNationsNationalities,5.5338,37.1608
southernnationsnationalities,amaro,Amaro,SouthernNationsNationalities,5.7914,37.8194
southernnationsnationalities,basketo,Basketo,SouthernNationsNationalities,6.2641,36.5589
southernnationsnationalities,benchmaji,BenchMaji,SouthernNationsNationalities,6.3348,35.5139
southernnationsnationalities,burji,Burji,SouthernNationsNationalities,5.4844,37.7845
southernnationsnationalities,dawro,Dawro,SouthernNationsNationalities,6.9674,37.0929
southernnationsnationalities,debubomo,DebubOmo,SouthernNationsNationalities,5.3733,36.3739
southernnationsnationalities,derashe,Derashe,SouthernNationsNationalities,5.6458,37.3926
southernnationsnationalities,gamogofa,GamoGofa,SouthernNationsNationalities,6.2523,37.2009
southernnationsnationalities,gedeo,Gedeo,SouthernNationsNationalities,6.1392,38.2711
southernnationsnationalities,gurage,Gurage,SouthernNationsNationalities,8.1498,38.0746
southernnationsnationalities,hadiya,Hadiya,SouthernNationsNationalities,7.5103,37.7496
southernnationsnationalities,keffa,Keffa,SouthernNationsNationalities,7.2267,36.0763
southernnationsnationalities,kembatatembaro,KembataTembaro,SouthernNationsNationalities,7.2818,37.7518
southernnationsnationalities,konso,Konso,SouthernNationsNationalities,5.3522,37.394
southernnationsnationalities,konta,Konta,SouthernNationsNationalities,6.8693,36.6039
southernnationsnationalities,sheka,Sheka,SouthernNationsNationalities,7.5477,35.4123
southernnationsnationalities,sidama,Sidama,SouthernNationsNationalities,6.6628,38.5383
southernnationsnationalities,silti,Silti,SouthernNationsNationalities,7.7817,38.2198
southernnationsnationalities,wolayita,Wolayita,SouthernNationsNationalities,6.861,37.7156
southernnationsnationalities,yem,Yem,SouthernNationsNationalities,7.8119,37.4866
tigray,debubawi,Debubawi,Tigray,12.9513,39.4896
tigray,mehakelegnaw,Mehakelegnaw,Tigray,13.9377,38.9242
tigray,miirabawi,Mi'irabawi,Tigray,13.8273,37.1
tigray,misraqawi,Misraqawi,Tigray,14.0846,39.5666
tigray,semienmiirabaw,SemienMi'irabaw,Tigray,14.1013,38.049
